name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
Ask For Alonzo,星街8號地下B號舖,灣仔,意大利菜,早午餐,,$101-200,8,2
Dough Bros Pizza & Doughnuts (明新大廈),銅鑼灣道96號明新大廈地下G號舖,大坑,意大利菜,西式,,$101-200,10,1
必勝客,青山公路 - 荃灣段398號愉景新城1樓1035號舖,荃灣,意大利菜,薄餅,,$101-200,34,13
意粉屋,唐俊街9號PopCorn 2地下G50C號舖,將軍澳,意大利菜,薄餅,,$101-200,15,3
PizzaExpress (赤柱大街),赤柱大街90號地舖,赤柱,意大利菜,薄餅,,$101-200,45,3
Spago,港灣道28號灣景中心大廈1樓1號舖,灣仔,意大利菜,地中海菜,,$101-200,10,1
必勝客,興芳路223號新都會廣場2樓267-269號舖,葵芳,意大利菜,薄餅,,$101-200,13,4
HABITŪ table (Mikiki),太子道東638號Mikiki G樓G11號舖,新蒲崗,意大利菜,薄餅,,$101-200,8,0
Dough Bros Pizza & Doughnuts (赤柱廣場),佳美道23號赤柱廣場地下G08B號舖,赤柱,意大利菜,西式,,$101-200,10,0
Jack's Terrazza Ristorante,汀角路大尾篤村67號地舖,大埔,意大利菜,浪漫情調,,$101-200,68,4
必勝客,"橫壆街2-16號沙田中心3樓32C, 56及69B號舖",沙田,意大利菜,薄餅,,$101-200,20,3
PizzaExpress Pizzeria (友邦廣場),炮台山電氣道183號友邦廣場地下20-21號舖,北角,意大利菜,薄餅,,$101-200,17,1
Savour Cafe,達輝徑3號華健大廈地下3-4號舖,元朗,意大利菜,酒,,$101-200,101,16
Fantasy KiTchen,沙田圍路1-7號勵城花園地下4號舖,沙田,意大利菜,,,$101-200,38,2
BRKLYN Pizza Co.,蘇豪俊榮里5號地舖,中環,意大利菜,美國菜,,$101-200,10,0
PizzaExpress (香港科學園),白石角香港科學園第二期科技大道東12號海濱大樓1座地下S082-S083號舖,沙田,意大利菜,薄餅,,$101-200,10,3
必勝客,皇后大道中93號中環街市地下G20及G21號舖,中環,意大利菜,薄餅,,$101-200,8,0
Blue Place Cafe,堅尼地城卑路乍街93-95號地舖,西環,意大利菜,西式,,$101-200,21,1
PizzaExpress (上水廣場),龍琛路39號上水廣場5樓501號舖,上水,意大利菜,薄餅,,$101-200,7,1
必勝客,天恩路12-18號+WOO嘉湖一期1樓163-176號舖,天水圍,意大利菜,薄餅,,$101-200,26,5
必勝客,寶琳欣景路8號新都城中心二期2樓2071-72號舖,將軍澳,意大利菜,薄餅,,$101-200,39,8
必勝客,安邦路8&10號大埔超級城A區2樓076-082號舖,大埔,意大利菜,薄餅,,$101-200,33,14
Coffeelin (電氣道),炮台山電氣道228號地舖,北角,意大利菜,西式,,$101-200,4,2
必勝客,青山公路- 元朗段123號開心廣場2樓201號舖,元朗,意大利菜,薄餅,,$101-200,31,7
必勝客,波斯富街24-30寶漢大廈3-4樓,銅鑼灣,意大利菜,薄餅,,$101-200,35,11
Jack's Pizzeria,西營盤第二街1-11號東祥大廈地下G號舖,西環,意大利菜,西式,,$101-200,7,1
必勝客,深盛路9號宇晴匯2樓89-90號舖,荔枝角,意大利菜,薄餅,,$101-200,23,3
必勝客,觀塘道418號創紀之城五期(apm)2樓L2-1號舖,觀塘,意大利菜,薄餅,,$101-200,20,5
必勝客,康城路1號The LOHAS康城2樓203A號舖,將軍澳,意大利菜,薄餅,,$101-200,5,1
必勝客,堪富利士道12號宏貿發展大廈1樓,尖沙咀,意大利菜,薄餅,,$101-200,19,1
必勝客,慶東街1號東堤灣畔地下24號舖,東涌,意大利菜,薄餅,,$101-200,14,4
GOLFZON Club & Dining,長義街9號D2 Place ONE 1樓114-127號舖,荔枝角,意大利菜,西式,,$101-200,8,0
必勝客,成都道38號利港中心2樓210號舖,香港仔,意大利菜,薄餅,,$101-200,23,8
必勝客,坑口重華路8號東港城1樓199A號舖,將軍澳,意大利菜,薄餅,,$101-200,8,0
必勝客,龍蟠街3號荷里活廣場3樓321號舖,鑽石山,意大利菜,薄餅,,$101-200,51,18
必勝客,黃埔天地時尚坊(第2期)地下G10A號舖,紅磡,意大利菜,薄餅,,$101-200,44,11
Casa Bistro,美孚新邨二期平台65C號舖,美孚,意大利菜,西式,,$101-200,8,1
必勝客,北角道10號北角亞太商業中心1樓,北角,意大利菜,薄餅,,$101-200,17,2
必勝客,楓樹窩路1號翠怡花園2座地下G1A號舖,青衣,意大利菜,薄餅,,$101-200,19,4
必勝客,太源街8號海源中心1樓,灣仔,意大利菜,薄餅,,$101-200,48,8
蔡農日籽,普通道11A號地舖,西貢,意大利菜,西式,,$101-200,12,0
必勝客,高超道38號大本型1樓135號舖,油塘,意大利菜,薄餅,,$101-200,22,3
