TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit
RL,92,2292807226,ANN MAMMA THAI KITCHEN,"SHOP 11, G/F, TAK YAN MANSION STAGE 3, 11-15 TSO KUNG SQUARE, TSUEN WAN, NEW TERRITORIES",,2022-05-02,22.372898465196087,114.11159720928949,[991]
RL,92,2292807235,川滿居,"SHOP NO. 111, G/F, BLOCK 12, RIVIERA GARDENS, TSUEN WAN, NEW TERRITORIES",,2022-05-02,22.362495007525105,114.11308689928984,[1008]
RL,92,2292807244,品粥小廚粥店,"PORTION A OF SHOP F, G/F, CHEUNG TAK MANSION , NOS. 14-36 TSO KUNG SQUARE, TSUEN WAN, NEW TERRITORIES",,2022-05-02,22.373544374654784,114.11194028058644,[991]
RL,92,2292807253,The BASE nature,"SHOP UG70 AND COMMON AREA BETWEEN SHOP NO. UG53 & UG70 ON THE UPPER GROUND FLOOR,  CITYWALK,  1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",,2022-05-02,22.369975905106383,114.11340761655634,[999]
RL,92,2292807262,Bao Dim Sin Seng,"G/F, 111 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",,2022-05-02,22.369419011459414,114.11552832187874,[999]
RL,92,2292807271,WONG PAI BING SUTT,"UNIT 304, 3RD FLOOR OF THE MILLS, 45 PAK TIN PAR STREET, TSUEN WAN, NEW TERRITORIES",,2022-05-03,22.374950355093432,114.11017236956872,[988]
RL,92,2292807280,YOU YU KITCHEN,"G/F, 13 YI PEI SQUARE, TSUEN WAN, NEW TERRITORIES",,2022-05-03,22.36934722045872,114.11608915502023,[999]
RL,92,2292807305,MOS Burger,"SHOP NO. 135, LEVEL 1, NINA MALL 2, 98 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",,2022-05-04,22.368845563553663,114.11140668863032,[1010]
RL,92,2292807314,Ruby Tuesday,"SHOP NO. 1013, 1/F., OP MALL, 100 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",,2022-05-10,22.367655375212266,114.11016490967484,[1012]
RL,92,2292807323,NABE URAWA,"SHOP NO. 104, FIRST FLOOR, NINA MALL 2, NO. 98 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",#G#H,2022-05-11,22.368845563553663,114.11140668863032,[1010]
